id,found_at,status,title,company,location,source,visa_sponsorship,dol_h1b_sponsor,dol_h1b_lca_count,dol_h1b_worker_positions,dol_h1b_role_lca_count,dol_h1b_employer,h1bgrader_url,url
google_136347562071204550,2026-09-12 23:03:03 UTC,To Apply,"Manager, Software Engineer, Site Reliability Engineering",Google,"Sunnyvale, CA, USA",Google,Not stated,Yes,7339,8626,4858,Google,https://h1bgrader.com/jobs/search?keyword=Google&limit=25&location=&page=1,https://www.google.com/about/careers/applications/jobs/results/136347562071204550
google_85510980536017606,2026-09-12 23:03:03 UTC,To Apply,"Software Engineering Manager II, Site Reliability Engineering, Data Cloud SRE",Google,"Sunnyvale, CA, USA",Google,Not stated,Yes,7339,8626,192,Google,https://h1bgrader.com/jobs/search?keyword=Google&limit=25&location=&page=1,https://www.google.com/about/careers/applications/jobs/results/85510980536017606
google_112402539575419590,2026-09-12 23:03:03 UTC,To Apply,"Software Engineering Manager II, Site Reliability Engineering, AI Foundry SRE",Google,"San Jose, CA, USA",Google,Not stated,Yes,7339,8626,175,Google,https://h1bgrader.com/jobs/search?keyword=Google&limit=25&location=&page=1,https://www.google.com/about/careers/applications/jobs/results/112402539575419590
google_99009796459373254,2026-09-12 23:03:03 UTC,To Apply,"Software Engineer, Site Reliability Engineering",Google,"New York, NY, USA",Google,Not stated,Yes,7339,8626,4828,Google,https://h1bgrader.com/jobs/search?keyword=Google&limit=25&location=&page=1,https://www.google.com/about/careers/applications/jobs/results/99009796459373254
google_97249598602388166,2026-09-12 23:03:03 UTC,To Apply,"Senior Software Engineering Manager, Site Reliability Engineering",Google,"Sunnyvale, CA, USA",Google,Not stated,Yes,7339,8626,357,Google,https://h1bgrader.com/jobs/search?keyword=Google&limit=25&location=&page=1,https://www.google.com/about/careers/applications/jobs/results/97249598602388166
google_111478028537602758,2026-09-12 23:03:03 UTC,To Apply,"Software Engineering Manager II, Site Reliability Engineering",Google,"Mountain View, CA, USA",Google,Not stated,Yes,7339,8626,174,Google,https://h1bgrader.com/jobs/search?keyword=Google&limit=25&location=&page=1,https://www.google.com/about/careers/applications/jobs/results/111478028537602758
google_79518663639474886,2026-09-12 23:03:03 UTC,To Apply,"Software Engineering Manager II, Site Reliability Engineering, Data Intelligence",Google,"San Jose, CA, USA",Google,Not stated,Yes,7339,8626,180,Google,https://h1bgrader.com/jobs/search?keyword=Google&limit=25&location=&page=1,https://www.google.com/about/careers/applications/jobs/results/79518663639474886
google_74783715598705350,2026-09-12 23:03:03 UTC,To Apply,"Senior Software Engineering Manager, Site Reliability Engineering, YouTube ML",Google,"San Bruno, CA, USA",Google,Not stated,Yes,7339,8626,357,Google,https://h1bgrader.com/jobs/search?keyword=Google&limit=25&location=&page=1,https://www.google.com/about/careers/applications/jobs/results/74783715598705350
google_113118729666994886,2026-09-12 23:03:03 UTC,To Apply,Product Manager,Google,"Mountain View, CA, USA",Google,Not stated,Yes,7339,8626,194,Google,https://h1bgrader.com/jobs/search?keyword=Google&limit=25&location=&page=1,https://www.google.com/about/careers/applications/jobs/results/113118729666994886
google_115058268178391750,2026-09-12 23:03:03 UTC,To Apply,Product Manager,Google,"Kirkland, WA, USA",Google,Not stated,Yes,7339,8626,194,Google,https://h1bgrader.com/jobs/search?keyword=Google&limit=25&location=&page=1,https://www.google.com/about/careers/applications/jobs/results/115058268178391750
google_86178789968487110,2026-09-12 23:03:03 UTC,To Apply,"Product Manager II, Google Workspace",Google,"New York, NY, USA",Google,Not stated,Yes,7339,8626,202,Google,https://h1bgrader.com/jobs/search?keyword=Google&limit=25&location=&page=1,https://www.google.com/about/careers/applications/jobs/results/86178789968487110
